date,time_block,purchase_bid_mw,sell_bid_mw,mcv_mw,scheduled_vol_mw,MCP,scrape_timestamp
20-02-2026,14:30-14:45,10835.6,23795.2,10304.4,10304.4,2287.17,2026-02-25 11:04:05
20-02-2026,14:45-15:00,11173.7,22543.3,9616.05,9616.05,2839.51,2026-02-25 11:04:05
20-02-2026,15:00-15:15,10422.4,22958.3,9850.4,9850.4,2450.87,2026-02-25 11:04:05
20-02-2026,15:15-15:30,10728.4,22502.5,10005.03,10005.03,2849.54,2026-02-25 11:04:05
20-02-2026,15:30-15:45,11358.2,20192.8,10218.61,10218.61,3026.37,2026-02-25 11:04:05
20-02-2026,15:45-16:00,11587.4,17410.7,9906.42,9906.42,3296.89,2026-02-25 11:04:05
20-02-2026,16:00-16:15,10321.0,18039.6,9412.86,9412.86,2999.79,2026-02-25 11:04:05
20-02-2026,16:15-16:30,9666.9,16935.0,8706.29,8706.29,2981.16,2026-02-25 11:04:05
20-02-2026,16:30-16:45,7593.0,15088.8,6877.65,6877.65,2839.59,2026-02-25 11:04:05
20-02-2026,16:45-17:00,7376.4,13212.3,6531.39,6531.39,2981.2,2026-02-25 11:04:05
20-02-2026,17:00-17:15,6311.3,12366.5,5870.49,5870.49,2800.94,2026-02-25 11:04:05
20-02-2026,17:15-17:30,8138.6,9730.2,6399.3,6399.3,3690.98,2026-02-25 11:04:05
20-02-2026,17:30-17:45,8615.5,8667.8,6497.04,6497.04,3999.94,2026-02-25 11:04:05
20-02-2026,17:45-18:00,9228.2,7642.9,5886.0,5886.0,4995.32,2026-02-25 11:04:05
20-02-2026,18:00-18:15,8374.9,9612.6,6860.12,6860.12,3999.8,2026-02-25 11:04:05
20-02-2026,18:15-18:30,8205.0,10247.2,6843.8,6843.8,3880.0,2026-02-25 11:04:05
20-02-2026,18:30-18:45,9371.5,8775.8,7284.68,7284.68,4550.18,2026-02-25 11:04:05
20-02-2026,18:45-19:00,9592.2,8729.8,7338.4,7338.4,4959.34,2026-02-25 11:04:05
